"Designator","Quantity","Value","Footprint",LCSC Part #
"C1, C2,","2","22pF","0402",C1555
"C3, C6, C7, C8, C9, C10, C11, C12, C15, C16, C17, C18,","12","10nF","0402",C15195
"C4, C5, C19,","3","4.7uF","0402",C23733
"C13,","1","0.1nF","0402",C1546
"C14,","1","1uF","0402",C28323
"D1,","1","LED","0603",C2286
"D2,","1","LED","0603",C72043
"D3,","1","B5819W","SOD-123",C8598
"D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D15,","12","LED","0805",C34499
"L1,","1","LQH32CN100K33L","1210",C86069
"Q1,","1","2N7002","SOT-23",C8545
"R1, R2, R5,","3","100","0603",C22775
"R3, R6,","2","10k","0402",C25744
"R4, R7,","2","220k","0402",C25767
"R8, R9,","2","2.2k","0402",C25879
"U1,","1","STM32F103C8Tx","LQFP-48_7.0x7.0x0.5P",C8734
"U2,","1","LT1117-3.3","SOT-223",C6186
"U3,","1","TCAN337","SOIC-8_3.9x4.9x1.27P",C191004
"U4,","1","AD5160","SOT-23-8",C143914
"U5,","1","MPU6050","QFN-24_EP_4.0x4.0x0.5P",C24112
"U6,","1","TPS61041DBV","SOT-23-5",C9846
"Y1,","1","Crystal_GND24","SMD-3225_4P",C13738
