Comment,Designator,Footprint,LCSC
Conn_01x04,J1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
Conn_01x04,J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
Conn_01x04,J3,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
Conn_01x05,J4,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,
Conn_01x05,J5,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,
G5LE-1,K1,Relay_SPDT_Omron-G5LE-1,
TSR_2-2450,U2,Converter_DCDC_TRACO_TSR-1_THT,
TSR_2-24120,U3,Converter_DCDC_TRACO_TSR-1_THT,
Conn_02x10_Odd_Even,J7,PinSocket_2x10_P2.54mm_Vertical,
Conn_02x03_Odd_Even,J6,Hirose_DF11-6DP-2DSA_2x03_P2.00mm_Vertical,
D,D1,D_DO-15_P12.70mm_Horizontal,
TSR_2-2450,U1,Converter_DCDC_TRACO_TSR-1_THT,
5k6,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
24V in,J8,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
24V out,J9,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
BD135,Q1,TO-126-3_Vertical,
CAN BR,J10,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
500mA,F2,Fuse_Littelfuse_372_D8.50mm,
22uF,C1,CP_Radial_D5.0mm_P2.00mm,
SW_DPDT_x2,SW1,Switch_3_Pin,
TestPoint,TP13,TestPoint_Pad_D2.0mm,
500mA,F3,Fuse_Littelfuse_372_D8.50mm,
330,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
500mA,F1,Fuse_Littelfuse_372_D8.50mm,
TestPoint,TP8,TestPoint_Pad_D2.0mm,
TestPoint,TP14,TestPoint_Pad_D2.0mm,
TestPoint,TP7,TestPoint_Pad_D2.0mm,
TestPoint,TP1,TestPoint_Pad_D2.0mm,
TestPoint,TP6,TestPoint_Pad_D2.0mm,
TestPoint,TP4,TestPoint_Pad_D2.0mm,
TestPoint,TP9,TestPoint_Pad_D2.0mm,
TestPoint,TP11,TestPoint_Pad_D2.0mm,
TestPoint,TP2,TestPoint_Pad_D2.0mm,
TestPoint,TP12,TestPoint_Pad_D2.0mm,
TestPoint,TP5,TestPoint_Pad_D2.0mm,
TestPoint,TP10,TestPoint_Pad_D2.0mm,
TestPoint,TP3,TestPoint_Pad_D2.0mm,
