Comment,Designator,Footprint,LCSC
X3,J5,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,
Conn_01x05,J2,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,
TestPoint,I2C_SCL1,TestPoint_Pad_D2.0mm,
Conn_01x05,J13,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,
Conn_01x05,J11,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,
Conn_01x05,J7,JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,
TestPoint,I2C_SDA1,TestPoint_Pad_D2.0mm,
Conn_01x05,J10,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,
TestPoint,GND1,TestPoint_Pad_D2.0mm,
Conn_01x05,J12,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,
X2,J8,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,
X1,J6,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,
Conn_01x05,J1,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,
Conn_01x04,J9,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,
Conn_01x05,J4,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,
Conn_01x05,J3,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,
