Comment,Designator,Footprint,LCSC
Vcc I2C,J6,Pin_Header_Straight_2x20,
TestPoint,TP6,TestPoint_Pad_D1.0mm,
RPi_GPIO,J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
TestPoint,TP12,TestPoint_Pad_D1.0mm,
TestPoint,TP15,TestPoint_Pad_D2.0mm,
TestPoint,TP14,TestPoint_Pad_D1.0mm,
TestPoint,TP7,TestPoint_Pad_D1.0mm,
MCP25625-x-SS,U2,SSOP-28_5.3x10.2mm_P0.65mm,
Goupille,J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
TestPoint,TP9,TestPoint_Pad_D1.0mm,
TestPoint,TP8,TestPoint_Pad_D1.0mm,
100 nF,C2,C_Disc_D5.1mm_W3.2mm_P5.00mm,
100 nF,C1,C_Disc_D5.1mm_W3.2mm_P5.00mm,
5k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
8MHz,Y1,Crystal_HC50_Horizontal,
R,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,
Arrêt d'urgence,J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
22 pF,C4,C_Disc_D5.1mm_W3.2mm_P5.00mm,
TestPoint,TP5,TestPoint_Pad_D1.0mm,
TestPoint,TP10,TestPoint_Pad_D1.0mm,
Tension I2C,J4,PinHeader_2x02_P2.54mm_Vertical,
22 pF,C3,C_Disc_D5.1mm_W3.2mm_P5.00mm,
I2C,J5,Hirose_DF11-6DP-2DSA_2x03_P2.00mm_Vertical,
TestPoint,TP13,TestPoint_Pad_D1.0mm,
XBee,U1,XBEE-20_THT,
TestPoint,TP11,TestPoint_Pad_D1.0mm,
TestPoint,TP4,TestPoint_Pad_D1.0mm,
TestPoint,TP3,TestPoint_Pad_D1.0mm,
TestPoint,TP1,TestPoint_Pad_D1.0mm,
TestPoint,TP2,TestPoint_Pad_D1.0mm,
TestPoint,TP16,TestPoint_Pad_D2.0mm,
