"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"TEST_RES1";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
2;"D1";"D_A-405_P12.70mm_Horizontal";1;"D";;;
3;"Electroaimant1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02";;;
4;"SERVO1";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"Conn_01x03";;;
5;"U1";"DIP-8_W7.62mm";1;"MCP2551-I-P";;;
6;"C5";"CP_Radial_D8.0mm_P3.50mm";1;"220 à 1000 µF";;;
7;"G***";"logoRobotechNancy10x10";1;"LOGO";;;
8;"Transistor2";"TO-220-3_Horizontal_TabDown";1;"IRFZ44NPBF";;;
9;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
10;"DRIVER1";"MODULE_TMC2208_SILENTSTEPSTICK";1;"TMC2208_SILENTSTEPSTICK";;;
11;"MotPasAPas1";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
12;"Q1";"TO-92_Inline";1;"BC557";;;
13;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
14;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"180";;;
15;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k";;;
16;"STM32FM303K8";"MODULE_NUCLEO-F303K8";1;"NUCLEO-F303K8";;;
17;"BUS_CAN1";"JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical";1;"Conn_01x05";;;
18;"R2";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"R";;;
19;"RESISTANCE1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1000 Ohms";;;
20;"TP9,TP3,TP11,TP13,TP16,TP5,TP1,TP14,TP10,TP2,TP8,TP15,TP4,TP12,TP6,TP7";"TestPoint_Pad_D2.0mm";16;"TestPoint";;;
21;"C4,C1";"C_1206_3216Metric";2;"1µF";;;
22;"C2,C3";"C_1206_3216Metric";2;"1pF";;;
23;"";"";1;"";;;
