"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;",";"RPi_Hat_Mounting_Hole";2;"";;;
2;"J6";"Pin_Header_Straight_2x20";1;"Vcc I2C";;;
3;"REF**,REF**,REF**,REF**";"C_1206_3216Metric";4;"C_1206_3216Metric";;;
4;"TP6,TP12,TP14,TP7,TP9,TP8,TP5,TP10,TP13,TP11,TP4,TP3,TP1,TP2";"TestPoint_Pad_D1.0mm";14;"TestPoint";;;
5;"J2";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"RPi_GPIO";;;
6;"TP15,TP16";"TestPoint_Pad_D2.0mm";2;"TestPoint";;;
7;"U2";"SSOP-28_5.3x10.2mm_P0.65mm";1;"MCP25625-x-SS";;;
8;"J3";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Goupille";;;
9;"C2,C1";"C_Disc_D5.1mm_W3.2mm_P5.00mm";2;"100 nF";;;
10;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"5k";;;
11;"Y1";"Crystal_HC50_Horizontal";1;"8MHz";;;
12;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"R";;;
13;"J1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Arrêt d'urgence";;;
14;"Test_INT";"TestPoint_Pad_D1.0mm";1;"TestPoint_Pad_D1.0mm";;;
15;"C4,C3";"C_Disc_D5.1mm_W3.2mm_P5.00mm";2;"22 pF";;;
16;"J4";"PinHeader_2x02_P2.54mm_Vertical";1;"Tension I2C";;;
17;"G***,G***";"logoRobotechNancy10x10";2;"LOGO";;;
18;"J5";"Hirose_DF11-6DP-2DSA_2x03_P2.00mm_Vertical";1;"I2C";;;
19;"U1";"XBEE-20_THT";1;"XBee";;;
