"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"R10KOHMS3,R10KOHMS2,R10KOHMS1";"R_0603_1608Metric";3;"R_Small";;;
2;"Servo_Bras_Poignet1,Servo_Bras_Pince1";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";2;"Conn_01x03_Female";;;
3;"Moteur_P-A-P_Bras1";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04_Female";;;
4;"J2";"Molex_Nano-Fit_105309-xx03_1x03_P2.50mm_Vertical";1;"Conn_Alim";;;
5;"J4,J1";"Molex_Nano-Fit_105309-xx02_1x02_P2.50mm_Vertical";2;"Bus_CAN";;;
6;"C11,C10,C9,C8,C5,C4,C3,C2,C1";"C_0402_1005Metric";9;"10 nF";;;
7;"C7,C6";"C_0402_1005Metric";2;"22µF";;;
8;"H4,H3,H1,H2";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_Pad";;;
9;"PROG1";"JTAG10";1;"STM32_SW";;;
10;"U6";"SOIC-14_3.9x8.7mm_P1.27mm";1;"TXB0104D";;;
11;"U3";"SOT-223";1;"AMS1117-3.3";;;
12;"U2";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"TCAN337";;;
13;"J3";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Female";;;
14;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
15;"U5";"TMC2208";1;"TMC2208";;;
