"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_Pad";;;
2;"U3";"TO-252-2";1;"LF50_TO252";;;
3;"R1";"R_0603_1608Metric";1;"R_Small";;;
4;"J8";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Female";;;
5;"X1";"Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm";1;"SG-7050CAN";;;
6;"U2";"HSOP-20-1EP_11.0x15.9mm_P1.27mm_SlugUp";1;"L298P";;;
7;"U1";"LQFP-44_10x10mm_P0.8mm";1;"XC9536VQ44";;;
8;"SW1";"SW_PUSH_6mm";1;"SW_Push";;;
9;"J7";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_Moteur_Elevation";;;
10;"J6";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_Moteur__Lampe";;;
11;"J5";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_BouttonDésactivation";;;
12;"J4";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_BoutonActivation";;;
13;"J3";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_FinDeCourseHaut";;;
14;"J2";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_FinDeCourseBas";;;
15;"J1";"Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal";1;"Conn_Batt";;;
16;"D8,D7,D6,D5,D4,D3,D2,D1";"D_SMA_Handsoldering";8;"DIODE";;;
17;"C10,C9,C8,C6,C5,C4";"C_0402_1005Metric";6;"10nF";;;
18;"C7";"C_0402_1005Metric";1;"15pF";;;
19;"C3";"C_0402_1005Metric";1;"0,1µF";;;
20;"C2,C1";"CP_EIA-7343-31_Kemet-D";2;"33µF";;;
