Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,110.9975,-112.903,180.0,top
C2,100pF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,110.9975,-110.363,180.0,top
C3,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,133.8575,-71.0315,90.0,bottom
C4,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,136.6515,-71.0315,90.0,bottom
C5,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,139.1915,-71.0315,90.0,bottom
C6,220 à 1000 µF,CP_Radial_D8.0mm_P3.50mm,131.8255,-113.792,180.0,top
C7,220 à 1000 µF,CP_Radial_D8.0mm_P3.50mm,90.9315,-82.804,0.0,top
C8,220 à 1000 µF,CP_Radial_D8.0mm_P3.50mm,131.8255,-91.948,180.0,top
C9,220 à 1000 µF,CP_Radial_D8.0mm_P3.50mm,90.9315,-104.14,0.0,top
Driver1,TMC2208,MODULE_TMC2208_SILENTSTEPSTICK,92.964,-87.884,0.0,top
Driver2,TMC2208,MODULE_TMC2208_SILENTSTEPSTICK,129.54,-87.884,180.0,top
Driver3,TMC2208,MODULE_TMC2208_SILENTSTEPSTICK,92.964,-108.966,0.0,top
Driver4,TMC2208,MODULE_TMC2208_SILENTSTEPSTICK,129.54,-108.966,180.0,top
J1,Conn_01x04_Male,Alim_Cablée_2_fils,111.0255,-81.115301,0.0,top
J2,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,81.788,-91.694,180.0,top
J3,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,140.716,-84.074,0.0,top
J4,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,81.788,-112.776,180.0,top
J5,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,140.716,-105.156,0.0,top
J5-CAN1,Conn_01x02_Female,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,124.6715,-73.771,90.0,top
R_CAN1,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,112.5215,-96.012,90.0,top
SW1,SW_Push_SPDT,Switch_3_Pin,90.8045,-72.136,180.0,top
U1,R-78E5.0-0.5,Converter_DCDC_RECOM_R-78E-0.5_THT,131.5715,-75.1055,0.0,top
U2,MCP2551-I-P,DIP-8_W7.62mm,107.6955,-98.806,0.0,top
