Comment,Designator,Footprint,LCSC
Conn_01x02,TEST_RES1,PinSocket_1x02_P2.54mm_Vertical,
D,D1,D_A-405_P12.70mm_Horizontal,
Conn_01x02,Electroaimant1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
Conn_01x03,SERVO1,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
MCP2551-I-P,U1,DIP-8_W7.62mm,
220 à 1000 µF,C5,CP_Radial_D8.0mm_P3.50mm,
IRFZ44NPBF,Transistor2,TO-220-3_Horizontal_TabDown,
10k,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
TMC2208_SILENTSTEPSTICK,DRIVER1,MODULE_TMC2208_SILENTSTEPSTICK,
Conn_01x04,MotPasAPas1,PinSocket_1x04_P2.54mm_Vertical,
BC557,Q1,TO-92_Inline,
180,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
NUCLEO-F303K8,STM32FM303K8,MODULE_NUCLEO-F303K8,
Conn_01x05,BUS_CAN1,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,
R,R2,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,
1000 Ohms,RESISTANCE1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
TestPoint,TP9,TestPoint_Pad_D2.0mm,
1µF,C4,C_1206_3216Metric,
1µF,C1,C_1206_3216Metric,
TestPoint,TP3,TestPoint_Pad_D2.0mm,
TestPoint,TP11,TestPoint_Pad_D2.0mm,
TestPoint,TP13,TestPoint_Pad_D2.0mm,
TestPoint,TP16,TestPoint_Pad_D2.0mm,
TestPoint,TP5,TestPoint_Pad_D2.0mm,
TestPoint,TP1,TestPoint_Pad_D2.0mm,
TestPoint,TP14,TestPoint_Pad_D2.0mm,
1pF,C2,C_1206_3216Metric,
TestPoint,TP10,TestPoint_Pad_D2.0mm,
TestPoint,TP2,TestPoint_Pad_D2.0mm,
TestPoint,TP8,TestPoint_Pad_D2.0mm,
TestPoint,TP15,TestPoint_Pad_D2.0mm,
1pF,C3,C_1206_3216Metric,
TestPoint,TP4,TestPoint_Pad_D2.0mm,
TestPoint,TP12,TestPoint_Pad_D2.0mm,
TestPoint,TP6,TestPoint_Pad_D2.0mm,
TestPoint,TP7,TestPoint_Pad_D2.0mm,
