Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BUS_CAN1,Conn_01x05,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,153.4292,-75.4976,0.0,top
C1,1µF,C_1206_3216Metric,156.389,-91.996,180.0,bottom
C2,1pF,C_1206_3216Metric,156.464,-94.996,180.0,bottom
C3,1pF,C_1206_3216Metric,199.0,-91.5,180.0,bottom
C4,1µF,C_1206_3216Metric,199.0,-94.0,180.0,bottom
C5,220 à 1000 µF,CP_Radial_D8.0mm_P3.50mm,146.685,-115.88,-90.0,top
D1,D,D_A-405_P12.70mm_Horizontal,152.4,-134.112,90.0,top
DRIVER1,TMC2208_SILENTSTEPSTICK,MODULE_TMC2208_SILENTSTEPSTICK,160.0,-106.82,0.0,top
Electroaimant1,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,145.939,-126.973,-90.0,top
MotPasAPas1,Conn_01x04,PinSocket_1x04_P2.54mm_Vertical,145.9484,-110.62,180.0,top
Q1,BC557,TO-92_Inline,181.123,-127.889,-90.0,top
R1,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,162.306,-123.19,0.0,top
R2,R,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,147.2,-88.75,90.0,top
R3,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,186.182,-129.032,0.0,top
R4,180,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,187.706,-123.19,90.0,top
RESISTANCE1,1000 Ohms,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,189.865,-69.85,180.0,top
SERVO1,Conn_01x03,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,159.4,-66.0,0.0,top
STM32FM303K8,NUCLEO-F303K8,MODULE_NUCLEO-F303K8,187.0306,-99.92,0.0,top
TEST_RES1,Conn_01x02,PinSocket_1x02_P2.54mm_Vertical,175.006,-69.596,0.0,top
Transistor2,IRFZ44NPBF,TO-220-3_Horizontal_TabDown,157.17,-127.762,-90.0,top
U1,MCP2551-I-P,DIP-8_W7.62mm,152.87,-89.3,90.0,top
