Comment,Designator,Footprint,LCSC
Conn_01x07,Giroscope1,PinSocket_1x07_P2.54mm_Vertical,
X3,J3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
Conn_01x04,BUS_CAN1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
INT,TP1,TestPoint_Loop_D2.50mm_Drill1.0mm,
Conn_01x07,Capt_Optiq1,JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical,
Conn_01x05,LIDAR1,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,
X1,J2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
X2,J1,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
NUCLEO-F303K8,A1,MODULE_NUCLEO-F303K8,
Conn_01x04,TOF1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
R,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
Conn_01x08,Accéleromètre1,PinSocket_1x08_P2.54mm_Vertical,
MCP2551-I-P,U1,DIP-8_W7.62mm,
TestPoint,SPI_MISO1,TestPoint_Pad_D2.0mm,
TestPoint,I2C_SDA1,TestPoint_Pad_D2.0mm,
TestPoint,Can_RX1,TestPoint_Pad_D2.0mm,
100pF,C1,C_1206_3216Metric,
100nF,C2,C_1206_3216Metric,
TestPoint,I2C_SCL1,TestPoint_Pad_D2.0mm,
TestPoint,Can_H1,TestPoint_Pad_D2.0mm,
TestPoint,LID_RX1,TestPoint_Pad_D2.0mm,
TestPoint,SPI_CS1,TestPoint_Pad_D2.0mm,
TestPoint,Can_TX1,TestPoint_Pad_D2.0mm,
TestPoint,Can_L1,TestPoint_Pad_D2.0mm,
100nF,C3,C_1206_3216Metric,
TestPoint,LID_TX1,TestPoint_Pad_D2.0mm,
100pF,C4,C_1206_3216Metric,
TestPoint,GND1,TestPoint_Pad_D2.0mm,
TestPoint,SPI_CLK1,TestPoint_Pad_D2.0mm,
TestPoint,SPI_MOSI1,TestPoint_Pad_D2.0mm,
