"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"J1,J2,J3";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";3;"Conn_01x04";;;
2;"J4,J5";"JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical";2;"Conn_01x05";;;
3;"K1";"Relay_SPDT_Omron-G5LE-1";1;"G5LE-1";;;
4;"U2,U1";"Converter_DCDC_TRACO_TSR-1_THT";2;"TSR_2-2450";;;
5;"U3";"Converter_DCDC_TRACO_TSR-1_THT";1;"TSR_2-24120";;;
6;"J7";"PinSocket_2x10_P2.54mm_Vertical";1;"Conn_02x10_Odd_Even";;;
7;"J6";"Hirose_DF11-6DP-2DSA_2x03_P2.00mm_Vertical";1;"Conn_02x03_Odd_Even";;;
8;"D1";"D_DO-15_P12.70mm_Horizontal";1;"D";;;
9;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1600";;;
10;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
11;"J8";"AMASS_XT30PW-M_1x02_P2.50mm_Horizontal";1;"24V in";;;
12;"J9";"AMASS_XT30PW-M_1x02_P2.50mm_Horizontal";1;"24V out";;;
13;"G***,G***";"logoRobotechNancy10x10";2;"LOGO";;;
14;"Q1";"TO-126-3_Vertical";1;"BD135";;;
15;"J10";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"24V in";;;
16;"F2,F3,F1";"Fuse_Littelfuse_372_D8.50mm";3;"500mA";;;
17;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"22uF";;;
18;"SW1";"Switch_3_Pin";1;"SW_DPDT_x2";;;
19;"TP13,TP8,TP14,TP7,TP1,TP6,TP4,TP9,TP11,TP2,TP12,TP5,TP10,TP3";"TestPoint_Pad_D2.0mm";14;"TestPoint";;;
20;"R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"120";;;
