"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"NUCLEO-F303K8T1";"MODULE_NUCLEO-F303K8";1;"NUCLEO-F303K8";;;
2;"J2,J3,J5,J4";"PinSocket_1x04_P2.54mm_Vertical";4;"Conn_01x04_Female";;;
3;"Driver1,Driver2,Driver4,Driver3";"MODULE_TMC2208_SILENTSTEPSTICK";4;"TMC2208";;;
4;"U1";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"R-78E5.0-0.5";;;
5;"SW1";"Switch_3_Pin";1;"SW_Push_SPDT";;;
6;"J1";"Alim_Cablée_2_fils";1;"Conn_01x04_Male";;;
7;"H2,H1,H4,H3";"MountingHole_2.2mm_M2_ISO7380";4;"MountingHole";;;
8;"G***,G***";"logoRobotechNancy10x10";2;"LOGO";;;
9;"R_CAN1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"R";;;
10;"C8,C6,C9,C7";"CP_Radial_D8.0mm_P3.50mm";4;"220 à 1000 µF";;;
11;"TP11,TP5,TP9,TP7,TP8,TP10,TP2,TP1,TP3,TP6,TP4";"TestPoint_Pad_D2.0mm";11;"TestPoint";;;
12;"C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100pF";;;
13;"J5-CAN1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02_Female";;;
14;"U2";"DIP-8_W7.62mm";1;"MCP2551-I-P";;;
15;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100nF";;;
16;"C4,C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10u";;;
17;"C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100n";;;
18;"REF**";"TestPoint_Pad_D2.0mm";1;"TestPoint_Pad_D2.0mm";;;
